City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Melbourne,16/04/2017,15:20,Hawthorn,Geelong,MCG,48,134,6,12,20,14,2.87,1.42,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Brisbane,16/04/2017,16:40,Brisbane,Richmond,Gabba,67,119,10,7,17,17,3.17,1.35,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-334797792&p_stn_num=040913
Melbourne,16/04/2017,15:20,Collingwood,St Kilda,Etihad Stadium,55,69,7,13,9,15,1.62,2.29,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Adelaide,15/04/2017,19:10,Adelaide,Essendon,Adelaide Oval,153,88,24,9,13,10,1.16,5.29,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,15/04/2017,19:25,Carlton,Gold Coast,Etihad Stadium,82,108,12,10,17,6,2.05,1.77,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Canberra,15/04/2017,16:35,GWS Giants,Port Adelaide,Manuka Oval,112,81,16,16,11,15,1.37,3.09,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-986923182&p_stn_num=070246
Melbourne,15/04/2017,13:45,Melbourne,Fremantle,MCG,104,106,15,14,16,10,1.35,3.19,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,14/04/2017,16:20,North Melbourne,Western Bulldogs,Etihad Stadium,86,89,12,14,12,17,3.54,1.3,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,13/04/2017,18:10,West Coast,Sydney,Domain Stadium,91,65,13,13,10,5,1.36,3.15,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Gold Coast,9/04/2017,16:40,Gold Coast,Hawthorn,Metricon Stadium,139,53,21,13,7,11,3.06,1.38,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-326713690&p_stn_num=040416
Melbourne,9/04/2017,15:20,Carlton,Essendon,MCG,57,42,7,15,6,6,3.23,1.35,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,9/04/2017,13:10,St Kilda,Brisbane,Etihad Stadium,107,76,14,23,11,10,1.15,5.44,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,8/04/2017,17:40,Fremantle,Western Bulldogs,Domain Stadium,89,73,13,11,10,13,4.88,1.18,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Adelaide,8/04/2017,19:10,Port Adelaide,Adelaide,Adelaide Oval,83,100,12,11,15,10,2.32,1.18,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,8/04/2017,16:35,Geelong,Melbourne,Etihad Stadium,126,97,20,6,13,19,1.4,2.96,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,8/04/2017,14:10,Richmond,West Coast,MCG,76,65,11,10,8,17,2.56,1.51,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Hobart,8/04/2017,13:45,North Melbourne,GWS Giants,Blundstone Arena,67,109,10,7,15,19,4.31,1.22,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1768351258&p_stn_num=094030
Sydney,7/04/2017,19:50,Sydney,Collingwood,SCG,79,80,11,13,11,14,1.45,2.74,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-873151344&p_stn_num=066073
Adelaide,2/04/2017,16:10,Port Adelaide,Fremantle,Adelaide Oval,145,56,22,13,8,8,1.21,4.5,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-105924303&p_stn_num=023011
Melbourne,2/04/2017,15:20,Melbourne,Carlton,MCG,86,64,13,8,9,10,1.21,4.35,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Melbourne,2/04/2017,13:10,Geelong,North Melbourne,Etihad Stadium,112,111,17,10,17,9,1.18,4.86,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-1487214643&p_stn_num=086232
Perth,1/04/2017,16:40,West Coast,St Kilda,Domain Stadium,116,97,18,8,13,19,1.14,5.63,,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-16771239&p_stn_num=009151
Brisbane,1/04/2017,18:25,Brisbane,Essendon,Gabba,84,111,12,12,17,9,2.9,1.41,0.2,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2017&p_c=-334797792&p_stn_num=040913
