,Away_Behinds,Away_Goals,Away_Team,Away_Total,Crowd,Date,Day,Home_Behinds,Home_Goals,Home_Team,Home_Total,Match_Link,Month,Round,Structured_Data,Time,Venue,Year,City,station_ID,URL,Rain
0,13 ,5,Richmond,43,78253,7,No Day Data Provided,11 ,17,Essendon,113,no match report,September,Qualifying Finals,2001-09-07 19:45:00,7:45 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
1,8 ,8,Port Adelaide,56,32380,8,No Day Data Provided,16 ,12,Brisbane Lions,88,no match report,September,Qualifying Finals,2001-09-08 19:40:00,7:40 pm,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0.2
2,14 ,6,Adelaide,50,53982,8,No Day Data Provided,16 ,17,Carlton,118,no match report,September,Elimination Finals,2001-09-08 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.4
3,8 ,11,Sydney,74,32910,9,No Day Data Provided,15 ,19,Hawthorn,129,no match report,September,Elimination Finals,2001-09-09 14:30:00,2:30 pm,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,5.8
4,14 ,7,Carlton,56,83323,15,No Day Data Provided,7 ,10,Richmond,67,no match report,September,Semi Finals,2001-09-15 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0.2
5,12 ,10,Hawthorn,72,30613,15,No Day Data Provided,9 ,10,Port Adelaide,69,no match report,September,Semi Finals,2001-09-15 19:15:00,7:15 pm,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
6,13 ,9,Hawthorn,67,86468,22,No Day Data Provided,10 ,11,Essendon,76,no match report,September,Preliminary Finals,2001-09-22 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
7,8 ,10,Richmond,68,37032,22,No Day Data Provided,16 ,20,Brisbane Lions,136,no match report,September,Preliminary Finals,2001-09-22 19:45:00,7:45 pm,Gabba,2001,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-334811501&p_stn_num=040913,0
8,18,15,Brisbane Lions,108,91482,29,No Day Data Provided,10,12,Essendon,82,no match report,September,Grand Final,2001-09-29 14:30:00,2:30 pm,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
9,8,23,Essendon,146,"56,028",30,Friday,7,9,Kangaroos,61,No Match Report,March,Not Defined,2001-03-30 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
10,15,11,Collingwood,81,"52,190",31,Saturday,7,13,Hawthorn,85,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,MCG,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
11,11,18,Carlton,119,"23,716",31,Saturday,10,18,Fremantle,118,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,Domain Stadium,2001,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-17056912&p_stn_num=009225,0
12,16,16,St Kilda,112,"30,047",31,Saturday,11,16,Western Bulldogs,107,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,Etihad Stadium,2001,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-1487228352&p_stn_num=086232,0
13,9,14,Brisbane Lions,93,"25,948",31,Saturday,15,14,Port Adelaide,99,No Match Report,March,Not Defined,2001-03-31 00:00:00,No time provided,AAMI Stadium,2001,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2001&p_c=-106666407&p_stn_num=023090,0
